"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"","","","","","psychophysics","104","307600","0.0-9.0-0.0-0.43","1044","","j","","","","","","","","","","","","","key","j","16.68574809160293","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","true","Formal"
"","","","","","psychophysics","105","309284","0.0-9.0-0.0-0.44","532","","j","","","","","","","","","","","","","key","j","16.686080000000075","640","356","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","j","true","Formal"
"","","","","","psychophysics","106","311118","0.0-9.0-0.0-0.45","675","","f","","","","","","","","","","","","","key","f","16.684403669724556","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","107","312990","0.0-9.0-0.0-0.46","717","","j","","","","","","","","","","","","","key","j","16.683963963963816","640","356","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","j","true","Formal"
"","","","","","psychophysics","108","315158","0.0-9.0-0.0-0.47","1016","","f","","","","","","","","","","","","","key","f","16.68574418604659","640","356","./1_3_Stimuli/S_ambi40.png","他人","Image","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","109","317529","0.0-9.0-0.0-0.48","1213","","f","","","","","","","","","","","","","key","f","16.683999999999713","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","110","319298","0.0-9.0-0.0-0.49","612","","f","","","","","","","","","","","","","key","f","16.685304761904714","640","356","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","111","321205","0.0-9.0-0.0-0.50","750","","f","","","","","","","","","","","","","key","f","16.68383333333329","640","356","./1_3_Stimuli/S_ambi40.png","他人","Image","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","112","322998","0.0-9.0-0.0-0.51","642","","j","","","","","","","","","","","","","key","j","16.68366037735843","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","j","true","Formal"
"","","","","","psychophysics","113","324897","0.0-9.0-0.0-0.52","741","","f","","","","","","","","","","","","","key","f","16.68553097345104","640","356","./1_3_Stimuli/S_ambi40.png","自我","Image","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","114","326842","0.0-9.0-0.0-0.53","786","","j","","","","","","","","","","","","","key","j","16.686260869565075","640","356","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal"
"","","","","","psychophysics","115","328651","0.0-9.0-0.0-0.54","655","","f","","","","","","","","","","","","","key","f","16.68509345794386","640","356","./1_3_Stimuli/S_ambi40.png","他人","Word","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","116","330410","0.0-9.0-0.0-0.55","595","","j","","","","","","","","","","","","","key","j","16.683009615384574","640","356","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","true","Formal"
"","","","","","psychophysics","117","332209","0.0-9.0-0.0-0.56","642","","j","","","","","","","","","","","","","key","j","16.68554205607479","640","356","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal"
"","","","","","psychophysics","118","334921","0.0-9.0-0.0-0.57","null","","null","","","","","","","","","","","","","key","null","16.685888888888897","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","false","Formal"
"","","","","","psychophysics","119","337151","0.0-9.0-0.0-0.58","1079","","f","","","","","","","","","","","","","key","f","16.685530303030674","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","f","true","Formal"
