"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,1094,1.094,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,733,0.733,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,823,0.823,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,668,0.668,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,1086,1.086,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,854,0.854,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,838,0.838,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,905,0.905,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,946,0.946,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,858,0.858,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,746,0.746,1
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,546,0.546,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,610,0.61,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,1026,1.026,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,1001,1.001,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,889,0.889,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
