match,shape_identity,corr,rt,subj_idx,response,task
1,2,1,0.516968600219116,1,1,1
1,2,1,0.658992700278759,1,1,1
1,3,1,0.620481500169262,1,1,1
1,3,0,1.00704090017825,1,0,1
1,1,1,0.903639300027862,1,1,1
1,1,1,0.472674400312826,1,1,1
1,1,1,0.343369300244376,1,1,1
1,3,0,0.639912500046194,1,0,1
1,3,1,0.62801370001398,1,1,1
1,2,1,0.555998400086537,1,1,1
1,2,1,0.505731699988246,1,1,1
1,3,1,0.556227799970657,1,1,1
1,3,1,0.736295900074765,1,1,1
1,2,1,0.545678500086069,1,1,1
1,1,1,0.598771900171414,1,1,1
1,1,1,0.641883899923414,1,1,1
1,1,1,0.477342500118539,1,1,1
1,1,1,0.488927300088108,1,1,1
1,1,1,0.515194599982351,1,1,1
1,1,1,0.479363500140607,1,1,1
1,2,0,0.700736100086942,1,0,1
1,2,1,0.633946400135756,1,1,1
1,2,1,0.620319199981168,1,1,1
1,3,1,0.787017399910837,1,1,1
1,3,1,0.853724100161344,1,1,1
1,3,1,0.660030700266361,1,1,1
1,3,1,0.694870900129899,1,1,1
1,2,1,0.64350220025517,1,1,1
1,1,1,0.661123300204054,1,1,1
1,1,1,0.597562300041318,1,1,1
1,2,1,0.616081100190058,1,1,1
1,1,1,0.671353500103578,1,1,1
1,2,1,0.516449500340968,1,1,1
1,2,1,0.938071600161493,1,1,1
1,1,0,0.728336400119588,1,0,1
1,3,1,0.815693699987605,1,1,1
1,3,1,0.610240900190547,1,1,1
1,3,0,0.738649300299585,1,0,1
1,1,1,0.598606600193307,1,1,1
1,1,1,0.588848300278187,1,1,1
1,1,1,0.617824700195342,1,1,1
1,2,1,0.569378500105813,1,1,1
1,3,1,0.404601200018078,1,1,1
1,2,1,0.815377300139517,1,1,1
1,1,1,0.504046899965033,1,1,1
1,1,1,0.664350100094453,1,1,1
1,2,1,0.886526100104675,1,1,1
1,1,1,0.505838999990374,1,1,1
1,3,1,0.633669900242239,1,1,1
1,1,1,0.47902030008845,1,1,1
1,3,1,0.870401700260118,1,1,1
1,1,1,0.603360299952328,1,1,1
1,3,1,0.756902700057253,1,1,1
1,2,1,0.809350100113079,1,1,1
1,1,1,0.504370200214908,1,1,1
1,3,1,0.764635900035501,1,1,1
1,1,1,0.481467300094664,1,1,1
1,2,1,0.615672999992967,1,1,1
1,2,0,0.588646200019866,1,0,1
1,2,1,0.557017100276425,1,1,1
1,3,1,0.6040248000063,1,1,1
1,2,1,0.541580300079659,1,1,1
1,1,0,0.45476880017668,1,0,1
1,2,1,0.511718500172719,1,1,1
1,3,1,0.501843500183895,1,1,1
1,1,1,0.472298300126567,1,1,1
1,2,1,0.571905000135303,1,1,1
1,2,1,0.549858500249684,1,1,1
1,1,1,0.584258600138128,1,1,1
1,3,1,0.452610100153834,1,1,1
1,2,0,0.581969000166282,1,0,1
1,2,1,0.42786159995012,1,1,1
1,1,1,0.525366200134158,1,1,1
1,1,1,0.457585900323465,1,1,1
1,1,0,0.513816500082612,1,0,1
1,2,1,0.648465299978852,1,1,1
1,2,1,0.436676100129262,1,1,1
1,3,1,0.743022000184283,1,1,1
1,2,1,0.531139900209382,1,1,1
1,1,1,0.547485700109974,1,1,1
1,2,1,0.513321200152859,1,1,1
1,2,1,0.332180100260302,1,1,1
1,3,1,0.5394439001102,1,1,1
1,1,1,0.415885900147259,1,1,1
1,3,1,0.392361999955028,1,1,1
1,2,1,0.428584800101817,1,1,1
1,1,1,0.577737200073898,1,1,1
1,3,1,0.619156300090253,1,1,1
0,1,0,0.325626600068063,2,1,2
0,3,0,0.677276100032032,2,1,2
0,3,1,0.554703100118786,2,0,2
0,2,1,0.544843200128525,2,0,2
0,1,0,0.339628500165418,2,1,2
0,1,1,0.245184500236064,2,0,2
0,2,0,0.327152700163424,2,1,2
0,3,1,0.535878600087017,2,0,2
0,1,0,0.259916299954057,2,1,2
0,3,0,0.292977700242773,2,1,2
0,1,1,0.348871500231326,2,0,2
0,3,0,0.282302200095728,2,1,2
0,3,1,0.202787599992007,2,0,2
0,1,1,0.229917000280693,2,0,2
0,2,1,0.277421300299466,2,0,2
0,3,1,0.244730700040236,2,0,2
0,1,0,0.207718000048772,2,1,2
0,2,0,0.497576100053266,2,1,2
0,3,0,0.523189200088382,2,1,2
0,3,1,0.261101600015536,2,0,2
0,2,1,0.519689500099048,2,0,2
0,3,0,0.410011900123209,2,1,2
0,2,1,0.447690600296482,2,0,2
0,3,1,0.820648500230163,2,0,2
0,2,1,0.592015699949116,2,0,2
0,3,0,0.329527999972925,2,1,2
0,3,0,0.200947400182486,2,1,2
0,1,1,0.239042400149629,2,0,2
0,2,0,0.381288600154221,2,1,2
0,3,1,0.227596299955621,2,0,2
0,1,0,0.646506300196052,2,1,2
0,3,1,0.213584300130606,2,0,2
0,1,1,0.396671200171113,2,0,2
0,3,1,0.310108600184321,2,0,2
0,3,1,0.779390700161457,2,0,2
0,3,0,0.448886000085622,2,1,2
0,2,1,0.270614300156012,2,0,2
0,2,1,0.286719500087202,2,0,2
0,2,1,0.271972000133246,2,0,2
0,3,1,0.375647800276056,2,0,2
0,3,1,0.20307040004991,2,0,2
0,1,1,0.317019500071183,2,0,2
0,3,0,0.291909200139344,2,1,2
0,2,1,0.552650900091976,2,0,2
0,2,0,0.358974599977955,2,1,2
0,2,0,0.276183800073341,2,1,2
0,2,0,0.285098100081086,2,1,2
0,2,1,0.239910900127143,2,0,2
